序号,MySQL中ID,链接,创建日期,最近更新,类型,状态,严重性,版本,操作系统,CPU架构,摘要
1,118870,https://bugs.mysql.com/bug.php?id=118870,2025-08-21 02:22:00,2025-08-21 02:33:00,MySQL Server: Optimizer,Closed(33 days),S3,8.0.43 MySQL Community Server - GPL,Linux (Rocky Linux release 8.8 (Green Obsidian)),Any,Constant conditions in SQL with derived views are not passed.
2,116795,https://bugs.mysql.com/bug.php?id=116795,2024-11-27 05:02:00,2024-11-27 11:07:00,MySQL Server,Closed(300 days),S3,8.0.32,Any,Any,get_oldest_view cost too much and block other oprator
3,115035,https://bugs.mysql.com/bug.php?id=115035,2024-05-16 10:46:00,2024-06-17 17:17:00,MySQL Server: DML,Closed(463 days),S2,"8.0.34, 8.3",Any,Any,View with ORDER BY misses a row
4,114347,https://bugs.mysql.com/bug.php?id=114347,2024-03-14 08:53:00,2024-09-13 16:11:00,Shell General / Core Client,Closed(375 days),S3,8.0.36,Any,Any,mysqlsh upgrade utility is reporting that views using the NOW() function
5,112888,https://bugs.mysql.com/bug.php?id=112888,2023-10-30 21:35:00,2023-10-31 01:42:00,MySQL Server: Group Replication,Closed(693 days),S3,8.0.27,Any,Any,View_change_log_event's in secondary cluster break cross-DC failovers
6,111813,https://bugs.mysql.com/bug.php?id=111813,2023-07-19 10:36:00,2023-09-05 15:05:00,Shell Upgrade Checker,Closed(749 days),S3,"8.0.32, 8.0.34",CentOS (CentOS Linux release 7.5.1804 (Core)),x86 (Intel(R) Xeon(R) CPU E5-4620 v2 @ 2.60GHz),mysqlshell upgrade checker checkTableOutput stage mark view Corrupt
7,111092,https://bugs.mysql.com/bug.php?id=111092,2023-05-19 19:00:00,2023-09-18 10:07:00,Shell Dump & Load,Closed(750 days),S3,8.0.33,Ubuntu (20.04),x86,dumpInstance produces empty pre-view SQL if SHOW FIELDS FROM results in error
8,108975,https://bugs.mysql.com/bug.php?id=108975,2022-11-02 20:04:00,2022-11-15 13:18:00,Shell Dump & Load,Closed(1043 days),S3,8.0,Any,Any,loadDump fails on view that references a view whose definer does not yet exist
9,108202,https://bugs.mysql.com/bug.php?id=108202,2022-08-19 21:58:00,2022-09-02 11:24:00,MySQL Server: DML,Closed(1118 days),S3,"8.0.29, 8.0.30",Any,Any,Temptable views on information_schema fails on filters
10,106204,https://bugs.mysql.com/bug.php?id=106204,2022-01-19 01:05:00,2022-04-04 09:44:00,Connector / ODBC,Closed(1297 days),S2,>8.0.26.0,Windows,Any,Unable to add mysql views to ms access.(Cannot define Field more than once)
11,106128,https://bugs.mysql.com/bug.php?id=106128,2022-01-10 17:04:00,2022-01-11 16:24:00,MySQL Websites: bugs.mysql.com,Closed(1351 days),S3,,Any,Any,Can't view bug 105715
12,105856,https://bugs.mysql.com/bug.php?id=105856,2021-12-10 07:12:00,2021-12-10 07:57:00,MySQL Server: DML,Verified(1383 days),S2,8.0.27,Any,Any,Inserting values to a view with check option raises unexpected error
13,105646,https://bugs.mysql.com/bug.php?id=105646,2021-11-19 18:22:00,2023-05-24 11:24:00,MySQL Workbench: SQL Editor,Verified(940 days),S1,"8.0.23, 8.0.24, 8.0.25, 8.0.26, 8.0.27, 8.0.28, 8.0.29,8.0.30, 8.0.31, 8.0.32, 8.0.33",Any,Any,Error parsing DDL when clicking editor icon on a view with accented characters
14,105567,https://bugs.mysql.com/bug.php?id=105567,2021-11-15 00:35:00,2021-11-15 07:30:00,MySQL Workbench,Verified(1408 days),S3,8.0.27,Windows (Microsoft Windows 10 Education),Any,Creating a view formats code into a single line
15,105326,https://bugs.mysql.com/bug.php?id=105326,2021-10-26 12:13:00,2021-10-26 12:44:00,MySQL Server: SYS Schema,Verified(1428 days),S3,"8.0.25, 5.7.36",Any,Any,system view will be invalid with special characters table name
16,104747,https://bugs.mysql.com/bug.php?id=104747,2021-08-27 01:57:00,2021-08-27 02:04:00,MySQL Server: Charsets,Closed(1488 days),S3,8.0.25,Any,Any,DB crashed when show create view caused by a bug fix in 8.0.20
17,104732,https://bugs.mysql.com/bug.php?id=104732,2021-08-26 07:20:00,2022-02-25 09:53:00,MySQL Server: Security: Privileges,Verified(1489 days),S3,"8.0.25, 8.0.26, 8.0.28",Any,Any,"In the case of using the role, there is a problem with the acl check of the view"
18,104700,https://bugs.mysql.com/bug.php?id=104700,2021-08-23 15:06:00,2021-09-03 22:39:00,MySQL Server: JSON,Closed(1481 days),S1,8.0.26,Any,Any,"multi-valued index is buggy in view, prepared statement,  OR and AND clauses"
19,104639,https://bugs.mysql.com/bug.php?id=104639,2021-08-17 07:16:00,2021-08-18 12:33:00,MySQL Server: InnoDB storage engine,Verified(1497 days),S5,8.0,Any,Any,Simplify the purge_sys->read_view creation to reduce mutex contention
20,104092,https://bugs.mysql.com/bug.php?id=104092,2021-06-23 12:45:00,2021-06-23 13:00:00,MySQL Server: Optimizer,Verified(1553 days),S3,8.0.25,Linux,Any,NO_BNL hint not working if query contains a merged view
21,103952,https://bugs.mysql.com/bug.php?id=103952,2021-06-09 04:01:00,2021-06-09 13:39:00,MySQL Server: Optimizer,Verified(1567 days),S3,8.0,Any,Any,The column name letters capitalized while query from view
22,103646,https://bugs.mysql.com/bug.php?id=103646,2021-05-11 06:25:00,2021-05-24 08:03:00,MySQL Server: InnoDB Plugin storage engine,Verified(1583 days),S5,8.0,Any,Any,This judgment(trx->no < m_low_limit_no) in ReadView::prepare is not necessary
23,103583,https://bugs.mysql.com/bug.php?id=103583,2021-05-05 08:21:00,2021-05-18 13:36:00,MySQL Server: DDL,Closed(1589 days),S1,"8.0.24, 8.0.23, 8.0.21",Any,Any,Dump/Restore fails with nested VIEWS having ROLLUP over DISTINCT groups
24,103133,https://bugs.mysql.com/bug.php?id=103133,2021-03-27 14:15:00,2023-12-21 17:04:00,MySQL Server: Views,Closed(642 days),S2,8.0.23,Windows (Microsoft Windows 10 Pro),x86,memory leak when accessing view
25,102465,https://bugs.mysql.com/bug.php?id=102465,2021-02-03 09:16:00,2025-05-22 17:23:00,MySQL Workbench: Administration,Verified(1688 days),S2,"8.0.23, 8.0.27, 8.0.29, 8.0.30",Ubuntu (Kubuntu 20.04),x86 (Intel Core i5 Haswell),Empty view and crash when opening Client Connections in 8.0.23 (regression)
26,102131,https://bugs.mysql.com/bug.php?id=102131,2021-01-03 08:02:00,2021-03-12 21:36:00,Connector / J,Closed(1656 days),S2,8.0.22,Any,Any,UpdatableResultSet NPE when using derived queries or views
27,101970,https://bugs.mysql.com/bug.php?id=101970,2020-12-11 03:24:00,2021-10-02 19:32:00,Shell General / Core Client,Closed(1452 days),S3,8.0.22,Windows,Any,MySQL Shell 8.0.22 loadDump fails for views using functions
28,101740,https://bugs.mysql.com/bug.php?id=101740,2020-11-25 00:44:00,2020-12-08 15:14:00,MySQL Server: DDL,Closed(1750 days),S1,8.0.22,Any,Any,mysqldump and SHOW CREATE VIEW produce invalid syntax for VIEWs with ROLL UP
29,101304,https://bugs.mysql.com/bug.php?id=101304,2020-10-24 04:58:00,2020-10-24 14:19:00,MySQL Server: DML,Verified(1795 days),S2,5.7 thru 8.0.21,Debian (Buster),x86 (KVM VM),"mysql 5.7, 8 insert on duplicate key update on view inserts nothing without err"
